;;;;;;;;;;;;;;;;;;;;;;;;;
ANAHEIM DUCKS;;salaire;équipe;;;BOSTON BRUINS;;salaire;équipe;;;BUFFALO SABRES;;salaire;équipe;;;;;;;;;;
DETROIT RED WINGS;;salaire;équipe;;;EDMONTON OILERS;;salaire;équipe;;;FLORIDA PANTHERS;;salaire;équipe;;;;;;;;;;
AG;EMMTIT FINNIE;0,922;DET;;;AG;ISAAC HOWARD;0,973;EDM;;;AG;BRADY TKACHUK;8,210;FLA;;;;;;;;;;
AG;ALEX DEBRINCAT;7,888;DET;;;AG;VASILY PODKOLZIN;2,950;EDM;;;AG;CARTER VERHAGEE;7,000;FLA;;;;;;;;;;
AG;CARTER MAZUR;0,875;DET;;;AG;RYAN NUGENT HOPKINS;5,500;EDM;;;AG;EETU LUOSTARINEN;3,000;FLA;;;;;;;;;;
C;DYLAN LARKIN;8,700;DET;;;C;CONNOR MCDAVID;12,500;EDM;;;C;ALEXANDER BARKOV;10,000;FLA;;;;;;;;;;
C;ANDREW COPP;5,630;DET;;;C;LEON DRAISAITL;14,000;EDM;;;C;SAM BENNETT;8,000;FLA;;;;;;;;;;
C;MARCO KASPER;0,887;DET;;;C;JASON DICKINSON;4,000;EDM;;;C;ANTON LUNDELL;5,000;FLA;;;;;;;;;;
AD;LUCAS RAYMOND;8,050;DET;;;AD;ZACH HYMAN;5,500;EDM;;;AD;SAM REINHART;8,630;FLA;;;;;;;;;;
AD;VIKTOR ARVIDSSON;5,000;DET;;;AD;MATTHEW SAVOIE;0,887;EDM;;;AD;MATTHEW TKACHUK;9,500;FLA;;;;;;;;;;
AD;MASON APPELTON;2,900;DET;;;AD;KASPERI KAPANEN;2,600;EDM;;;AD;BRAD MARCHAND;5,250;FLA;;;;;;;;;;
D;MORITZ SEIDER;8,550;DET;;;D;EVAN BOUCHARD;10,500;EDM;;;D;SETH JONES;7,000;FLA;;;;;;;;;;
D;SIMON EDVINSSON;7,000;DET;;;D;MATTIAS EKHOLM;4,000;EDM;;;D;GUSTAV FORSLING;5,750;FLA;;;;;;;;;;
D;AXEL SANDIN PELLIKKA;0,941;DET;;;D;JAKE WALMAN;7,000;EDM;;;D;AARON EKBLAD;6,100;FLA;;;;;;;;;;
D;JUSTIN FAULK;6,500;DET;;;D;CONNOR MURPHY;4,100;EDM;;;D;MIKO MIKKOLA;5,000;FLA;;;;;;;;;;
G;JOHN GIBSON;6,400;DET;;;G;FREDERIK ANDERSEN;1,000;EDM;;;G;JACOB MARKSTROM;6,000;FLA;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
LOS ANGELES KINGS;;salaire;équipe;;;MINNESOTA WILD;;salaire;équipe;;;MONTREAL CANADIENS;;salaire;équipe;;;;;;;;;;
AG;ARTEMI PANARIN;11,000;L-A;;;AG;KIRILL KAPRIZOV;17,000;MIN;;;AG;COLE CAUFIELD;7,850;MTL;;;;;;;;;;
AG;KEVIN FIALA;7,880;L-A;;;AG;BLAKE COLEMAN;2,450;MIN;;;AG;ALEX NEWHOOK;2,900;MTL;;;;;;;;;;
AG;TREVOR MOORE;4,200;L-A;;;AG;YAKOV TRENIN;3,500;MIN;;;AG;ALEXANDRE TEXIER;2,500;MTL;;;;;;;;;;
C;QUINTON BYFIELD;6,250;L-A;;;C;DANILA YUROV;0,973;MIN;;;C;NICK SUZUKI;7,880;MTL;;;;;;;;;;
C;ERIK HAULA;3,600;L-A;;;C;JOEL ERIKSSON EK;5,250;MIN;;;C;JAKE EVANS;2,850;MTL;;;;;;;;;;
C;SCOTT LAUGHTON;3,500;L-A;;;C;RYAN HARTMAN;4,000;MIN;;;C;PHILIP DANAULT;5,500;MTL;;;;;;;;;;
AD;ADRIAN KEMPE;10,630;L-A;;;AD;MAXIM SHABANOV;1,600;MIN;;;AD;JURAJ SLAFKOVSKY;7,600;MTL;;;;;;;;;;
AD;MATS ZUCCARELLO;1,000;L-A;;;AD;MATT BOLDY;7,000;MIN;;;AD;IVAN DEMIDOV;0,941;MTL;;;;;;;;;;
AD;ALEX LAFERRIERE;4,100;L-A;;;AD;BOBBY BRINK;2,750;MIN;;;AD;JOSH ANDERSON;5,500;MTL;;;;;;;;;;
D;BRANDT CLARKE;7,400;L-A;;;D;QUINN HUGHES;7,850;MIN;;;D;LANE HUTSON;8,850;MTL;;;;;;;;;;
D;MIKEY ANDERSON;4,130;L-A;;;D;BROCK FABER;8,500;MIN;;;D;NOAH DOBSON;9,500;MTL;;;;;;;;;;
D;DREW DOUGHTY;11,000;L-A;;;D;JONAS BRODIN;6,000;MIN;;;D;MIKE MATHESON;6,000;MTL;;;;;;;;;;
D;CODY CECI;4,500;L-A;;;D;JARED SPURGEON;7,580;MIN;;;D;KAIDEN GUHLE;5,550;MTL;;;;;;;;;;
G;DARCY KUEMPER;5,250;L-A;;;G;JESPER WALLSTEDT;2,200;MIN;;;G;JAKUB DOBES;0,965;MTL;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
NASHVILLE PREDATORS;;salaire;équipe;;;NEW JERSEY DEVILS;;salaire;équipe;;;NEW YORK ISLANDERS;;salaire;équipe;;;;;;;;;;
AG;STEVEN STAMKOS;8,000;NSH;;;AG;TIMO MEIER;8,800;N-J;;;AG;EMIL HEINENMAN;1,100;NYI;;;;;;;;;;
AG;FILIP FORSBERG;8,500;NSH;;;AG;JESPER BRATT;7,880;N-J;;;AG;CALUM RITCHIE;0,941;NYI;;;;;;;;;;
AG;LUKE EVANGELISTA;3,000;NSH;;;AG;ARSENY GRITSYUIK;3,250;N-J;;;AG;MATTIAS MACELLI;2,250;NYI;;;;;;;;;;
C;RYAN OREILLY;4,500;NSH;;;C;NICO HISCHIER;7,250;N-J;;;C;BO HORVAT;8,500;NYI;;;;;;;;;;
C;ROSS COLTON;4,000;NSH;;;C;JACK HUGHES;8,000;N-J;;;C;BRAYDEN SCHENN;6,500;NYI;;;;;;;;;;
C;VITALI PINCHUK;1,030;NSH;;;C;CODY GLASS;2,500;N-J;;;C;JEAN GABRIEL PAGEAU;4,850;NYI;;;;;;;;;;
AD;MATTHEW WOOD;0,950;NSH;;;AD;DAWSON MERCER;4,000;N-J;;;AD;KYLE PALMIERI;4,750;NYI;;;;;;;;;;
AD;MAVRICK BOURQUE;5,500;NSH;;;AD;ANTHONY MANTHA;4,750;N-J;;;AD;MATTHEW BARZAL;9,150;NYI;;;;;;;;;;
AD;JOE MARCHESSAULT;5,500;NSH;;;AD;EVAN RODRIGUES;3,080;N-J;;;AD;SIMON HOLMSTROM;3,630;NYI;;;;;;;;;;
D;ROMAN JOSI;9,060;NSH;;;D;DOUGIE HAMILTON;9,000;N-J;;;D;MATTHEW SCHEAFFER;0,986;NYI;;;;;;;;;;
D;BRADY SKJEI;7,000;NSH;;;D;LUKE HUGHES;9,000;N-J;;;D;RYAN PULOCK;6,150;NYI;;;;;;;;;;
D;NICK PERBIX;2,750;NSH;;;D;BRETT PESCE;5,500;N-J;;;D;TONY DEANGELO;4,500;NYI;;;;;;;;;;
D;RYAN UFKO;0,942;NSH;;;D;BRENDEN DILLON;4,000;N-J;;;D;SCOTT MAYFIELD;3,500;NYI;;;;;;;;;;
G;JUUSE SAROS;7,740;NSH;;;G;JAKE ALLEN;1,800;N-J;;;G;ILYA SOROKIN;8,250;NYI;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
NEW YORK RANGERS;;salaire;équipe;;;OTTAWA SENATORS;;salaire;équipe;;;PHILADELPHIA FLYERS;;salaire;équipe;;;;;;;;;;
AG;GABRIEL PEREAULT;0,942;NYR;;;AG;WILLIAM EKLUND;5,600;OTT;;;AG;PORTER MARTONE;0,978;PHI;;;;;;;;;;
AG;OLIVER BJORKSTRAND;4,500;NYR;;;AG;RIDLY GREIG;3,250;OTT;;;AG;OWEN TIPPETT;6,200;PHI;;;;;;;;;;
AG;WILL CULLYE;3,900;NYR;;;AG;WARREN FOEGELE;3,500;OTT;;;AG;MATVEI MICHKOV;0,950;PHI;;;;;;;;;;
C;MIKA ZIBANEJAD;8,500;NYR;;;C;TIM STUTZLE;8,350;OTT;;;C;CHRISTIAJ DVORAK;5,150;PHI;;;;;;;;;;
C;JT MILLER;8,000;NYR;;;C;DYLAN COZENS;7,100;OTT;;;C;TREVOR ZEGRAS;9,125;PHI;;;;;;;;;;
C;NOAH LABA;0,945;NYR;;;C;SHANE PINTO;7,500;OTT;;;C;NOAH CATES;4,000;PHI;;;;;;;;;;
AD;PAVEL DOROFEYEV;11,000;NYR;;;AD;FABIAN ZETTERLUND;4,280;OTT;;;AD;TRAVIS KONECNY;8,750;PHI;;;;;;;;;;
AD;ALEXIS LAFRENIERE;7,450;NYR;;;AD;DRAKE BATHERSON;4,980;OTT;;;AD;TYSON FOERSTER;3,750;PHI;;;;;;;;;;
AD;TAYLOR RADDYSH;1,500;NYR;;;AD;MICHAEL AMADIO;2,600;OTT;;;AD;ALEX BUMP;0,973;PHI;;;;;;;;;;
D;ADAM FOX;9,500;NYR;;;D;JAKE SANDERSON;8,050;OTT;;;D;TRAVIS SANHEIM;6,250;PHI;;;;;;;;;;
D;SEAN DURZI;6,000;NYR;;;D;ARTEM ZUB;4,600;OTT;;;D;RASMUS RISTOLAINEN;5,100;PHI;;;;;;;;;;
D;MARCUS PETTERSSON;5,500;NYR;;;D;THOMAS CHABOT;8,000;OTT;;;D;CAM YORK;5,150;PHI;;;;;;;;;;
D;VLADISLAV GAVRIKOV;7,000;NYR;;;D;JORDAN SPENCE;5,000;OTT;;;D;JAMIE DRYSDALE;6,500;PHI;;;;;;;;;;
G;IGOR SHERSTERKIN;11,570;NYR;;;G;LINUS ULLMARK;8,250;OTT;;;G;DAN VLADAR;3,350;PHI;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
PITTSBURGH PENGUINS;;salaire;équipe;;;SAN JOSE SHARKS;;salaire;équipe;;;;KRAKEN DE SEATTLE;salaire;équipe;;;;;;;;;;
AG;RIKARD RAKELL;5,000;PIT;;;AG;IGOR CHERNYSOV;0,945;S J;;;AG;BOBBY MCMANN;5,750;S J;;;;;;;;;;
AG;EGOR CHINAKOV;6,250;PIT;;;AG;MASON MARCHMENT;6,750;S J;;;AG;JARED MCCANN;5,000;S J;;;;;;;;;;
AG;ANDREI KUZMENKO;5,000;PIT;;;AG;IVAR STENBERG;1,080;S J;;;AG;BERKLY CATTON;0,954;S J;;;;;;;;;;
C;SIDNEY CROSBY;8,700;PIT;;;C;MACKLIN CELEBRINI;0,975;S J;;;C;MATTY BENIERS;7,140;S J;;;;;;;;;;
C;TOMMY NOVAK;3,500;PIT;;;C;MICHAEL MISA;0,986;S J;;;C;SHANE WRIGHT;0,887;S J;;;;;;;;;;
C;BEN KINDEL;0,986;PIT;;;C;ALEXNDER WENNBERG;6,000;S J;;;C;CHANDLER STEPHENSON;6,250;S J;;;;;;;;;;
AD;BRYAN RUST;5,130;PIT;;;AD;WILL SMITH;0,950;S J;;;AD;JORDAN EBERLE;5,500;S J;;;;;;;;;;
AD;EVGENII MALKIN;5,500;PIT;;;AD;COLLIN GRAF;4,250;S J;;;AD;MACKIE SAMOSKEVICH;3,850;S J;;;;;;;;;;
AD;NICK ROBERTSON;3,250;PIT;;;AD;KEIFER SHERWOOD;5,750;S J;;;AD;KAPPO KAKKO;4,530;S J;;;;;;;;;;
D;ERIK KARLSSON;10,000;PIT;;;D;SAM DICKINSON;0,954;S J;;;D;VINCE DUNN;7,350;S J;;;;;;;;;;
D;KRIS LETANG;6,100;PIT;;;D;JACOB TROUBA;8,250;S J;;;D;RYKER EVANS;2,050;S J;;;;;;;;;;
D;SAMUEL GIRARD;5,000;PIT;;;D;DARNELL NURSE;9,250;S J;;;D;ADAM LARSSON;5,250;S J;;;;;;;;;;
D;RYAN GREAVES;4,500;PIT;;;D;LUCA CAGNONI;0,920;S J;;;D;BRANDON MONTOUR;7,140;S J;;;;;;;;;;
G;ARTURS SILOVS;2,800;PIT;;;G;YAROSLAV ASKAROV;2,000;S J;;;G;JOEY DACCORD;5,000;S J;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
ST LOUIS BLUES;;salaire;équipe;;;TAMPA BAY LITHNING;;salaire;équipe;;;TORONTO MAPLE LEAFS;;salaire;équipe;;;;;;;;;;
AG;DYLAN HOLLOWAY;7,750;STL;;;AG;JAKE GUENTZEL;9,000;T-B;;;AG;MATTHEW KNIES;7,750;TOR;;;;;;;;;;
AG;CONNOR MCMICHAEL;6,750;STL;;;AG;BRANDON HAGEL;6,500;T-B;;;AG;GAVIN MCKENNA;1,080;TOR;;;;;;;;;;
AG;JAKE NEIGHBOURS;3,750;STL;;;AG;ZEMGUS GIRGENSON;0,925;T-B;;;AG;NICK PAUL;3,150;TOR;;;;;;;;;;
C;ROBERT THOMAS;8,130;STL;;;C;BRAYDEN POINT;9,500;T-B;;;C;AUSTON MATTHEWS;13,250;TOR;;;;;;;;;;
C;MASON MCTAVISH;7,000;STL;;;C;ANTHONY CIRELLI;6,250;T-B;;;C;JOHN TAVARES;4,390;TOR;;;;;;;;;;
C;PUIS SUTER;4,130;STL;;;C;YANNI GOURDE;2,330;T-B;;;C;COLTON SISSONS;4,250;TOR;;;;;;;;;;
AD;JIMMY SNUGGERUD;0,950;STL;;;AD;NIKITA KUCHEROV;9,500;T-B;;;AD;WILLIAM NYLANDER;11,500;TOR;;;;;;;;;;
AD;PAVEL BUCHNEVICH;8,000;STL;;;AD;CAGE GONCALVES;1,200;T-B;;;AD;JACK ROSLOVIC;4,000;TOR;;;;;;;;;;
AD;DALIBOR DVORSKY;0,909;STL;;;AD;PONTUS HOLMBERG;1,550;T-B;;;AD;BRANDON DUHAIIME;2,600;TOR;;;;;;;;;;
D;PHILIP BROBERG;8,000;STL;;;D;JOHN CARLSON;8,500;T-B;;;D;DARREN RADDYSH;8,500;TOR;;;;;;;;;;
D;LOGAN MAILLOUX;0,850;STL;;;D;VICTOR HEDMAN;8,000;T-B;;;D;JAKE MCCABE;4,510;TOR;;;;;;;;;;
D;THÉO LINDSTEIN;0,941;STL;;;D;J J MOSER;6,750;T-B;;;D;MORGAN RIELLY;7,500;TOR;;;;;;;;;;
D;COLTON PARAYKO;6,500;STL;;;D;CHARLES ED DASTOUS;0,875;T-B;;;D;OLIVER EKMAN LARSSON;3,500;TOR;;;;;;;;;;
G;JOEL HOFFER;3,400;STL;;;G;ANDREI VASILIEVSKI;9,500;T-B;;;G;SERGEI BOBROVSKY;7,000;TOR;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
MAMMOUTH DE UTAH;;salaire;équipe;;;VANCOUVER CANUCKS;;salaire;équipe;;;VEGAS GOLDEN KNIGHTS;;salaire;équipe;;;;;;;;;;
AG;CLAYTON KELLER;7,150;UTAH;;;AG;JAKE DEBRUSK;5,500;VAN;;;AG;IVAN BARBASHEV;5,000;VEG;;;;;;;;;;
AG;ANDERS LEE;5,400;UTAH;;;AG;LIAM OHGREN;0,887;VAN;;;AG;BRETT HOWDEN;2,500;VEG;;;;;;;;;;
AG;BARRETT HAYTON;4,780;UTAH;;;AG;DREW OCONNOR;2,500;VAN;;;AG;VICTOR OLOFSSON;1,640;VEG;;;;;;;;;;
C;NICK SCHMALTZ;8,000;UTAH;;;C;ELIAS PETTERSSON;11,600;VAN;;;C;JACK EICHEL;13,500;VEG;;;;;;;;;;
C;LOGAN COOLEY;10,000;UTAH;;;C;MARCO ROSSI;5,000;VAN;;;C;WILLIAM KARLSSON;5,900;VEG;;;;;;;;;;
C;VINCENT TROCHEK;5,630;UTAH;;;C;FILIP CHYTIL;4,440;VAN;;;C;TOMAS HERTL;6,750;VEG;;;;;;;;;;
AD;LAWSON CROUSE;4,300;UTAH;;;AD;LINUS KARLSSON;2,250;VAN;;;AD;MARK STONE;9,500;VEG;;;;;;;;;;
AD;DYLAN GUENTHER;7,140;UTAH;;;AD;BROCK BOESER;7,250;VAN;;;AD;BRADEN BOWMAN;0,913;VEG;;;;;;;;;;
AD;MICHAEL CARCONE;1,750;UTAH;;;AD;JONATHAN LEKKERIMAKI;0,918;VAN;;;AD;MITCH MARNER;12,000;VEG;;;;;;;;;;
D;MIKHAÏL SERGACHEV;8,500;UTAH;;;D;ZEEV BUIUM;0,967;VAN;;;D;NOAH HANIFIN;7,350;VEG;;;;;;;;;;
D;MACKENZIE WEEGAR;6,250;UTAH;;;D;FILIP HRONEK;7,250;VAN;;;D;RASMUS ANDERSSON;8,500;VEG;;;;;;;;;;
D;NATE SCHMIDT;3,500;UTAH;;;D;TOM WALLIMDER;0,973;VAN;;;D;BRAYDEN MCNABB;3,650;VEG;;;;;;;;;;
D;JOHN MARINO;4,400;UTAH;;;D;JAMIE OLEKSIAK;5,000;VAN;;;D;SHEA THEODORE;7,430;VEG;;;;;;;;;;
G;KAREL VEJMELKA;4,750;UTAH;;;G;TATCHER DEMKO;8,500;VAN;;;G;CARTER HART;2,000;VEG;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
WASHINGTON CAPITALS;;salaire;équipe;;;WINNIPEG JETS;;salaire;équipe;;;;;;;;;;;;;;;;
AG;ALEX TUCH;10,500;WAS;;;AG;KYLE CONNOR;12,000;WIN;;;;;;;;;;;;;;;;
AG;ALEKSEI PROTAS;3,380;WAS;;;AG;COLE PERFETTI;6,000;WIN;;;;;;;;;;;;;;;;
AG;ALEX OVECHKIN;4,250;WAS;;;AG;ISAK ROSEN;0,925;WIN;;;;;;;;;;;;;;;;
C;DYLAN STROME;5,000;WAS;;;C;MARK SCHEIFELE;8,500;WIN;;;;;;;;;;;;;;;;
C;PIERRE LUC DUBOIS;8,500;WAS;;;C;VIGGO BJORCK;1,075;WIN;;;;;;;;;;;;;;;;
C;BOONE JENNER;5,750;WAS;;;C;VLADISLAV NAMESTNIKOV;3,000;WIN;;;;;;;;;;;;;;;;
AD;JORDAN KYROU;8,130;WAS;;;AD;GABRIEL VILARDI;7,500;WIN;;;;;;;;;;;;;;;;
AD;TOM WILSON;6,540;WAS;;;AD;NINO NIEDEREITER;4,000;WIN;;;;;;;;;;;;;;;;
AD;RYAN LEONARD;0,950;WAS;;;AD;BRAD LAMBERT;0,887;WIN;;;;;;;;;;;;;;;;
D;JACUB CHYCHRUN;9,000;WAS;;;D;JOSH MORRISEY;6,250;WIN;;;;;;;;;;;;;;;;
D;COLE HUTSON;0,952;WAS;;;D;DYLAN DEMELO;4,900;WIN;;;;;;;;;;;;;;;;
D;MATT ROY;5,750;WAS;;;D;DYLAN SAMBERG;5,750;WIN;;;;;;;;;;;;;;;;
D;MARTIN FEHEVARY;6,000;WAS;;;D;NEAL PIONK;7,000;WIN;;;;;;;;;;;;;;;;
G;LOGAN THOMPSON;5,850;WAS;;;G;CONNOR HELLEBUYCK;8,500;WIN;;;;;;;;;;;;;;;;
